,Category,PP_Message,PP_Words,Message,Words,Words_Count,Chars_Count,Sents_Count,Punct_Count,All_Caps_Count,StopWords_Count,MeanLength,Comma_Count,QMark_Count,ExcMark_Count,Quotes_Count,Currency_Count
0,ham,go jurong point  crazi  avail bugi n great world la e buffet  cine got amor wat ,"['go' 'jurong' 'point' '' 'crazi' '' 'avail' 'bugi' 'n' 'great' 'world'
 'la' 'e' 'buffet' '' 'cine' 'got' 'amor' 'wat' '']","Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...","['Go', 'until', 'jurong', 'point', ',', 'crazy', '..', 'Available', 'only', 'in', 'bugis', 'n', 'great', 'world', 'la', 'e', 'buffet', '...', 'Cine', 'there', 'got', 'amore', 'wat', '...']",20,111,1,9,0,4,3.8333333333333335,1,0,0,0,0
1,ham,ok lar  joke wif u oni ,['ok' 'lar' '' 'joke' 'wif' 'u' 'oni' ''],Ok lar... Joking wif u oni...,"['Ok', 'lar', '...', 'Joking', 'wif', 'u', 'oni', '...']",6,29,1,6,0,0,3.0,0,0,0,0,0
2,spam,free entri  wkli comp win fa cup final tkt st may   text fa  receiv entri question  std txt rate   c appli,"['free' 'entri' '' 'wkli' 'comp' 'win' 'fa' 'cup' 'final' 'tkt' 'st' 'may'
 '' '' 'text' 'fa' '' 'receiv' 'entri' 'question' '' 'std' 'txt' 'rate' ''
 '' 'c' 'appli']",Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,"['Free', 'entry', 'in', '2', 'a', 'wkly', 'comp', 'to', 'win', 'FA', 'Cup', 'final', 'tkts', '21st', 'May', '2005', '.', 'Text', 'FA', 'to', '87121', 'to', 'receive', 'entry', 'question', '(', 'std', 'txt', 'rate', ')', 'T', '&', 'C', ""'s"", 'apply', '08452810075over18', ""'s""]",31,155,2,6,2,5,3.4594594594594597,0,0,0,0,0
3,ham,u dun say earli hor  u c alreadi say ,['u' 'dun' 'say' 'earli' 'hor' '' 'u' 'c' 'alreadi' 'say' ''],U dun say so early hor... U c already then say...,"['U', 'dun', 'say', 'so', 'early', 'hor', '...', 'U', 'c', 'already', 'then', 'say', '...']",11,49,1,6,0,2,3.0,0,0,0,0,0
4,ham,nah nt think goe usf  live around though,['nah' 'nt' 'think' 'goe' 'usf' '' 'live' 'around' 'though'],"Nah I don't think he goes to usf, he lives around here though","['Nah', 'I', 'do', ""n't"", 'think', 'he', 'goes', 'to', 'usf', ',', 'he', 'lives', 'around', 'here', 'though']",13,61,1,2,0,5,3.2666666666666666,1,0,0,0,0
5,spam,freemsg hey darl  week word back  like fun still  tb ok  xxx std chg send   rcv,"['freemsg' 'hey' 'darl' '' 'week' 'word' 'back' '' 'like' 'fun' 'still' ''
 'tb' 'ok' '' 'xxx' 'std' 'chg' 'send' '' '' 'rcv']","FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv","['FreeMsg', 'Hey', 'there', 'darling', 'it', ""'s"", 'been', '3', 'week', ""'s"", 'now', 'and', 'no', 'word', 'back', '!', 'I', ""'d"", 'like', 'some', 'fun', 'you', 'up', 'for', 'it', 'still', '?', 'Tb', 'ok', '!', 'XxX', 'std', 'chgs', 'to', 'send', ',', '£1.50', 'to', 'rcv']",31,147,4,8,0,13,2.9743589743589745,1,1,2,0,1
6,ham,even brother like speak  treat like aid patent ,['even' 'brother' 'like' 'speak' '' 'treat' 'like' 'aid' 'patent' ''],Even my brother is not like to speak with me. They treat me like aids patent.,"['Even', 'my', 'brother', 'is', 'not', 'like', 'to', 'speak', 'with', 'me', '.', 'They', 'treat', 'me', 'like', 'aids', 'patent', '.']",16,77,2,2,0,7,3.4444444444444446,0,0,0,0,0
7,ham,per request mell mell  oru minnaminungint nurungu vettam   set callertun caller  press   copi friend callertun,"['per' 'request' 'mell' 'mell' '' 'oru' 'minnaminungint' 'nurungu'
 'vettam' '' '' 'set' 'callertun' 'caller' '' 'press' '' '' 'copi'
 'friend' 'callertun']",As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,"['As', 'per', 'your', 'request', ""'Melle"", 'Melle', '(', 'Oru', 'Minnaminunginte', 'Nurungu', 'Vettam', ')', ""'"", 'has', 'been', 'set', 'as', 'your', 'callertune', 'for', 'all', 'Callers', '.', 'Press', '*', '9', 'to', 'copy', 'your', 'friends', 'Callertune']",25,160,2,6,0,9,4.354838709677419,0,0,0,0,0
8,spam,winner   valu network custom select receivea  prize reward  claim call   claim code kl  valid  hour ,"['winner' '' '' 'valu' 'network' 'custom' 'select' 'receivea' '' 'prize'
 'reward' '' 'claim' 'call' '' '' 'claim' 'code' 'kl' '' 'valid' '' 'hour'
 '']",WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,"['WINNER', '!', '!', 'As', 'a', 'valued', 'network', 'customer', 'you', 'have', 'been', 'selected', 'to', 'receivea', '£900', 'prize', 'reward', '!', 'To', 'claim', 'call', '09061701461', '.', 'Claim', 'code', 'KL341', '.', 'Valid', '12', 'hours', 'only', '.']",26,157,5,6,2,6,4.125,0,0,3,0,1
9,spam,mobil  month  u r entitl updat latest colour mobil camera free  call mobil updat co free ,"['mobil' '' 'month' '' 'u' 'r' 'entitl' 'updat' 'latest' 'colour' 'mobil'
 'camera' 'free' '' 'call' 'mobil' 'updat' 'co' 'free' '']",Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,"['Had', 'your', 'mobile', '11', 'months', 'or', 'more', '?', 'U', 'R', 'entitled', 'to', 'Update', 'to', 'the', 'latest', 'colour', 'mobiles', 'with', 'camera', 'for', 'Free', '!', 'Call', 'The', 'Mobile', 'Update', 'Co', 'FREE', 'on', '08002986030']",29,154,3,2,1,9,4.064516129032258,0,1,1,0,0
